"","X","refYear","refMonth","period","reporterISO","reporterDesc","partnerISO","partnerDesc","primaryValue","Group","Group_0","Group_1","Group_2","Time_Treated","GDP","EXR","REXR","CA","TimeIndex","Time_TreatmentIndex","Time_TreatmentIndex_1","trade","Ltrade","LGDP","LEXR","After1","After2","UCL","GDPX","REXRX","CAX","CV"
"1",1,2014,1,201401,"ARG","Argentina","RUS","Russian Federation",10498831.46,"Group_0",1,0,0,0,29.0370856446777,0.202832846070368,0.0496774053564457,0.399830390750386,-88,1000,1000,0.01049883146,-4.55649131753561,3.3685738283323,-3.00220506984548,0,0,0,-0.475016256866684,-0.210571669887762,1.00739387322762,0.107268648824391
"2",2,2014,1,201401,"AUS","Australia","RUS","Russian Federation",31507235.732,"Group_2",0,0,1,202203,102.069417802043,0.0334906807251422,0.00864540227389172,0.565608464621795,-88,10,-2,0.031507235732,-3.4575380537511,4.62565314849048,-4.75072762837984,0,0,1,0.520065944098381,-0.214114238831579,1.52349339918678,0.60981503481786
"3",3,2014,1,201401,"AUT","Austria","RUS","Russian Federation",201465400.28,"Group_2",0,0,1,202203,31.6880835555736,0.0217696837436028,0.00522568382001105,-0.0143035719968853,-88,10,-2,0.20146540028,-1.60213762310861,3.45594069713682,-5.25416961505134,0,0,1,-0.405858157845146,-0.214409486138101,-0.28188604700625,-0.300717896996499
"4",4,2014,1,201401,"BEL","Belgium","RUS","Russian Federation",977167642.31,"Group_2",0,0,1,202203,37.2842196595943,0.0217696837436028,0.00521555342591042,-0.108473705219675,-88,10,-2,0.97716764231,-0.0230970528054043,3.61857017170592,-5.25611007422122,0,0,1,-0.2771234846221,-0.214410360763194,-0.575056066302599,-0.355529970562631
"5",5,2014,1,201401,"BRA","Brazil","RUS","Russian Federation",231078170,"Group_0",1,0,0,0,190.768638382418,0.0705720842796909,0.663092400117751,0.448525045166613,-88,1000,1000,0.23107817,-1.46499922743573,5.25106137643922,-0.41084093181347,0,0,0,1.01512825718343,-0.15761142552093,1.15898984411852,0.672168891927008
"6",6,2014,1,201401,"CAN","Canada","RUS","Russian Federation",30269878.597,"Group_2",0,0,1,202203,149.54672241527,0.0323935977797413,0.00973474025857031,0.64803705548779,-88,10,-2,0.030269878597,-3.49760216662718,5.00760886852198,-4.63205432170855,0,0,1,0.822415471662255,-0.214020188952852,1.78010970361085,0.796168328773417
"7",7,2014,1,201401,"CHL","Chile","RUS","Russian Federation",4314786.767,"Group_0",1,0,0,0,19.2546858427587,15.9479360015181,2.52167217305415,0.428413571877303,-88,1000,1000,0.004314786767,-5.44570737235377,2.9577544515149,0.924922242200024,0,0,0,-0.800213754850435,0.00285227326469659,1.09637889932612,0.0996724725801271
"8",8,2014,1,201401,"COL","Colombia","RUS","Russian Federation",41214678.14,"Group_0",1,0,0,0,34.0935953954554,58.1910466171299,11.3944995763888,0.382950164921946,-88,1000,1000,0.04121467814,-3.18896082054017,3.52910954833431,2.43313074566387,0,0,0,-0.347938963468038,0.768903171137167,0.954842432951511,0.458602213540213
"9",9,2014,1,201401,"CZE","Czechia","RUS","Russian Federation",594212197,"Group_1",0,1,0,202105,14.530969883497,0.598289736640791,0.145945769702236,-0.064406773155211,-88,0,-2,0.594212197,-0.520518789405634,2.67628222576721,-1.92452016667052,0,0,1,-1.02302229001296,-0.202260174172643,-0.437867099041551,-0.554383187742385
"10",10,2014,1,201401,"DNK","Denmark","RUS","Russian Federation",92211454.227,"Group_2",0,0,1,202203,26.9915249653859,0.162439438056325,0.0394660598951444,-0.0756325576885836,-88,10,-2,0.092211454227,-2.38367092373883,3.29552292655961,-3.23231421959696,0,0,1,-0.53284208452353,-0.211453284056903,-0.47281515906478,-0.405703509215071
