"","X","refYear","refMonth","period","reporterISO","reporterDesc","partnerISO","partnerDesc","primaryValue","Group","Group_0","Group_1","Group_2","Time_Treated","GDP","EXR","REXR","CA","TimeIndex","Time_TreatmentIndex","Time_TreatmentIndex_1","trade","Ltrade","LGDP","LEXR","After1","After2","UCL","GDPX","REXRX","CAX","CV"
"13",13,2014,1,201401,"DEU","Germany","RUS","Russian Federation",3119608052.05,"Group_2",0,0,1,202203,348.014467750234,0.0217696837436028,0.00525714135958667,0.0283459255804265,-88,10,-2,3.11960805205,1.13770736958704,5.85224405290522,-5.24816786772384,0,0,1,1.49534415928305,-0.215088611123542,-0.149306034942481,0.376983171072341
"14",14,2014,1,201401,"GRC","Greece","RUS","Russian Federation",21651536.55,"Group_2",0,0,1,202203,18.3305812547012,0.0217696837436028,0.00539630098381102,0.273347828358448,-88,10,-2,0.02165153655,-3.83267885476568,2.90857077191629,-5.22204156313162,0,0,1,-0.847311076953819,-0.215076607174901,0.612874953462314,-0.149837576888802
"15",15,2014,1,201401,"HUN","Hungary","RUS","Russian Federation",228751948,"Group_2",0,0,1,202203,9.14438996744057,6.56938011848496,1.60783285633162,0,-88,10,-2,0.228751948,-1.47511705901577,2.21314057294103,0.474887220286711,0,0,1,-1.40075333822248,-0.0768499755799979,-0.237487903455203,-0.571697072419226
"16",16,2014,1,201401,"ISL","Iceland","RUS","Russian Federation",16806496.784,"Group_2",0,0,1,202203,1.45707511016028,3.43324991549496,0.824635854059737,-0.187349343906264,-88,10,-2,0.016806496784,-4.08598975399392,0.376431077126819,-0.192813379106763,0,0,1,-2.86245669559018,-0.144408771051792,-0.820316471300416,-1.27572731264746
"17",17,2014,1,201401,"IDN","Indonesia","RUS","Russian Federation",66534034,"Group_0",1,0,0,0,69.5069372877314,360.392052968351,97.9687355940808,-0.243821938945916,-88,1000,1000,0.066534034,-2.71004167276621,4.24142656467901,4.58464840322122,0,0,0,0.213411803615061,8.23526881528977,-0.995998120369498,2.48422749951178
"18",18,2014,1,201401,"IRL","Ireland","RUS","Russian Federation",62159703.602,"Group_2",0,0,1,202203,21.48751251327,0.0217696837436028,0.00528380029143041,-0.10420323665639,-88,10,-2,0.062159703602,-2.77804834124171,3.06747195305993,-5.24310968799649,0,0,1,-0.720853196436144,-0.215086311516522,-0.561655695660901,-0.499198401204522
"19",19,2014,1,201401,"ISR","Israel","RUS","Russian Federation",87342000,"Group_0",1,0,0,0,25.3924261551779,0.103576490402007,0.0238456774376406,0.129081220581746,-88,1000,1000,0.087342,-2.43792383217156,3.23445094669213,-3.73615231758558,0,0,0,-0.587966773102295,-0.213485158731137,0.164073272894641,-0.212459552979597
"20",20,2014,1,201401,"ITA","Italy","RUS","Russian Federation",908954932.623,"Group_2",0,0,1,202203,154.091516983856,0.0217696837436028,0.00525180957321792,-0.440252881629502,-88,10,-2,0.908954932623,-0.0954597651063483,5.03754669203637,-5.24918258115438,0,0,1,0.846985847674979,-0.215089071044946,-1.60707880321427,-0.325060675528078
"21",21,2014,1,201401,"JPN","Japan","RUS","Russian Federation",775892885.823,"Group_2",0,0,1,202203,396.900754401785,3.0806029805075,0.720542700559555,-0.241156351783044,-88,10,-2,0.775892885823,-0.253740802059698,5.98368626052237,-0.327750600122329,0,0,1,1.59994944205186,-0.153387875985714,-0.987705695553852,0.152951956837432
"22",22,2014,1,201401,"KOR","Rep. of Korea","RUS","Russian Federation",34646552,"Group_2",0,0,1,202203,108.879041606032,31.6277686518926,7.26052107700684,0.186110356405429,-88,10,-2,0.034646552,-3.36255706767712,4.69023755600866,1.9824515999535,0,0,1,0.570587793800304,0.410752513013087,0.341486275067722,0.440942193960371
"23",23,2014,1,201401,"LUX","Luxembourg","RUS","Russian Federation",13684991.263,"Group_2",0,0,1,202203,5.28124450004653,0.0217696837436028,0.00526940446823479,0.163738693522977,-88,10,-2,0.013684991263,-4.29145557492594,1.6641617707115,-5.24583792694433,0,0,1,-1.83764559591012,-0.215087553304313,0.27188985179645,-0.593614432472661
"24",24,2014,1,201401,"MYS","Malaysia","RUS","Russian Federation",47117226.162,"Group_0",1,0,0,0,25.3087853021898,0.0979042750653802,0.0262521093848958,-0.288332028063238,-88,1000,1000,0.047117226162,-3.05511660890128,3.23115158060367,-3.64000893565316,0,0,0,-0.590592498346095,-0.213277579229083,-1.13446538667544,-0.646111821416872
"25",25,2014,1,201401,"MEX","Mexico","RUS","Russian Federation",26459531,"Group_0",1,0,0,0,96.4838336448363,0.391557798480688,0.0810534232808452,-0.484707890287641,-88,1000,1000,0.026459531,-3.63213884532014,4.56937546731421,-2.51264679503792,0,0,0,0.474402457346302,-0.208550402354884,-1.74537471869254,-0.493174221233706
"26",26,2014,1,201401,"NLD","Netherlands","RUS","Russian Federation",596266147.572,"Group_2",0,0,1,202203,64.764033078752,0.0217696837436028,0.00525074321594417,0.14870048625977,-88,10,-2,0.596266147572,-0.517068155264533,4.1707504041827,-5.24938564745623,0,0,1,0.157165793389302,-0.215089163029226,0.225107212373066,0.0557279475777137
